930,421,71,74.57,1
870,415,70,73.09,1
978,439,69,75.31,1
909,441,63,71.83,1
919,407,72,73.95,1
876,431,64,71.30,1
971,437,69,75.10,1
945,433,61,70.58,1
951,429,66,72.84,1
944,432,69,74.50,1
874,408,72,73.61,1
919,407,70,72.95,1
947,439,59,70.03,1
965,461,67,75.80,1
931,413,68,72.50,1
959,441,63,72.29,1
879,439,64,71.91,1
939,429,69,74.23,1
875,399,73,73.47,1
936,413,67,72.04,1
951,439,62,71.57,1
959,471,65,75.47,1
899,389,74,73.46,1
949,443,60,70.84,1
933,416,63,70.23,1
943,439,66,73.50,1
969,462,72,78.40,1
978,439,69,75.31,1
914,424,66,72.14,1
950,441,71,76.20,1
880,400,69,71.59,1
882,412,66,70.98,1
1019,465,71,78.58,1
971,437,69,75.10,1
949,434,67,73.60,1
919,433,65,72.34,1
871,389,71,71.70,1
951,449,72,77.30,1
944,432,69,74.50,1
981,438,65,73.27,1
890,443,65,72.80,1
879,419,64,70.46,1
939,467,69,77.00,1
879,417,69,72.81,1
866,381,72,71.58,1
931,403,65,70.27,1
936,481,67,76.99,1
911,424,68,73.11,1
907,427,62,70.30,1
901,411,66,71.08,1
875,364,62,65.42,0
850,350,61,63.68,0
863,321,60,61.19,0
754,384,63,66.28,0
710,361,62,63.70,0
841,351,69,67.67,0
900,362,67,68.00,0
695,398,60,65.26,0
770,401,58,65.16,0
780,410,52,62.90,0
741,395,56,63.46,0
702,374,58,62.58,0
850,384,62,66.65,0
851,314,60,60.57,0
901,352,68,67.79,0
874,365,67,67.99,0
865,325,62,62.50,0
841,341,61,62.94,0
756,425,60,67.78,0
782,395,58,64.83,0
796,325,55,58.37,0
812,362,51,59.20,0
825,341,52,58.30,0
896,314,53,57.48,0
874,328,56,59.80,0
852,394,54,63.40,0
741,361,62,63.99,0
752,374,58,63.03,0
763,319,59,59.63,0
963,329,60,62.68,0
843,354,54,60.40,0
687,341,57,59.54,0
723,394,62,66.22,0
783,346,55,59.78,0
743,374,52,59.95,0
764,325,51,56.08,0
842,324,57,59.71,0
851,321,59,60.58,0
851,384,56,63.66,0
745,391,54,62.20,0
746,361,57,61.53,0
843,341,51,57.96,0
901,346,62,64.35,0
741,356,55,60.12,0
746,358,54,59.81,0
764,359,51,58.55,0
699,341,50,56.15,0
761,342,42,52.79,0
751,402,62,67.06,0
746,401,69,70.44,1
951,449,72,77.30,1
939,467,69,77.00,1
936,481,67,76.99,1
990,487,70,79.41,1
930,421,71,74.57,1
970,460,75,79.77,1
969,459,68,76.19,1
978,439,69,75.31,1
944,432,69,74.50,1
1019,465,71,78.58,1
938,431,70,74.87,1
978,439,69,75.31,1
990,487,72,79.86,1
989,459,65,74.87,1
965,461,67,75.80,1
950,441,71,76.20,1
971,437,69,75.10,1
963,469,77,81.36,1
939,429,69,74.23,1
956,448,70,76.27,1
979,467,66,75.86,1
966,476,74,80.40,1
959,471,65,75.47,1
969,462,72,78.40,1
971,478,67,77.09,1
894,399,75,74.64,1
969,453,71,77.25,1
889,428,73,75.70,1
939,458,69,76.34,1
973,461,71,77.87,1
902,411,73,74.50,1
959,438,71,76.07,1
973,461,70,77.37,1
901,432,72,75.60,1
919,471,71,78.10,1
961,446,76,79.17,1
899,401,75,74.83,1
963,441,71,76.32,1
925,468,72,78.44,1
961,439,77,79.16,1
931,439,70,75.39,1
960,441,72,76.80,1
909,469,70,77.37,1
952,456,73,78.31,1
888,418,72,74.47,1
969,449,71,76.96,1
963,445,80,81.11,1
935,453,69,75.94,1
965,455,79,81.36,1
